,location,company,turnstileLink,snip
1552,"Lakewood, CO",SphereOI Studios,Full Stack Software Developer,
1553,"Denver, CO",xentity corporation,GIS Analyst,
1554,"Littleton, CO 80127","ADA Technologies, Inc.",Engineer/Chemist,
1555,"Denver, CO 80202 (Lodo area)",Nexthealth,Sr. Python Developer,
1556,"Greenwood Village, CO 80111",Enquire Solutions,Senior Business Intelligence Analyst,
1557,"Denver, CO 80239",Mary's Management,Account Manager,
1558,"Denver, CO 80246 (Southeastern Denver area)",Helix,Full Stack Software Engineer,
1559,"Denver, CO 80246 (Southeastern Denver area)",Helix,Front End Engineer,
1560,"Denver, CO 80202 (Lodo area)",Ibotta,"Product Manager, Search & Discover",
1561,"Littleton, CO 80127","ADA Technologies, Inc.",Senior Engineer/Scientist,
1562,"Denver, CO 80202 (Lodo area)",Big Ladder Software,Front-End JavaScript Developer,
1563,"Denver, CO",Quisitive,Microsoft BI Developer (Azure experience a plus),
1564,"Littleton, CO 80127","ADA Technologies, Inc.",Senior Engineer/Scientist,
1565,"Denver, CO 80239",Mary's Management,Salesforce Administrative Assistant,
1566,"Littleton, CO 80127","ADA Technologies, Inc.",Engineer/Chemist,
1567,"Denver, CO 80205 (Northern Denver area)",Enbala Power Networks,"Senior QA Automation Test Engineer, Team Lead",
1568,"Denver, CO",xentity corporation,Business Intelligence Solution Architect,
1569,"Golden, CO",xentity corporation,Science Communications Specialist,
1570,"Denver, CO 80239",Mary's Management,Key Account Manager – CPG,
1571,"Denver, CO 80246 (Southeastern Denver area)",Helix,Front End Engineer,
1572,"Denver, CO",xentity corporation,Government Enterprise Architect,
1573,"Denver, CO 80203 (Capitol Hill area)",Premier Oilfield Group,Senior Reservoir Engineer,
1574,"Denver, CO",xentity corporation,Business Intelligence Solution Architect,
1575,"Denver, CO",DataRobot,"Senior Front End Engineer, UI/UX team",
1576,"Centennial, CO 80112",Cosmic AES,Systems Test Engineer,
1577,"Denver, CO 80237 (Southeastern Denver area)",GEI Consultants Inc,Software Architect,
1578,"Golden, CO",xentity corporation,Geospatial Architect,
1579,"Denver, CO 80237 (Southeastern Denver area)",GEI Consultants Inc,"Oil & Gas Science, Engineering & Technology SET Leader",
1580,"Denver, CO 80235",SRK Consulting,Senior Accountant,
1581,"Boulder, CO",Holland & Hart LLP,DevOps Engineer,
1582,"Boulder, CO",Holland & Hart LLP,DevOps Engineer,
1583,"Denver, CO",xentity corporation,Independent Consultant - Government Solution Architect,
1584,"Aurora, CO 80011 (Norfolk Glen area)",Cosmic AES,Software Integration Engineer,
1585,"Denver, CO 80235",SRK Consulting,Senior Accountant,
1586,"Boulder, CO",SciTec,Numerical Algorithm Software Engineer,
1587,"Denver, CO 80237 (Southeastern Denver area)",GEI Consultants Inc,Software Architect,
1588,"Golden, CO",xentity corporation,Geospatial Architect,
1589,"Centennial, CO 80112",Cosmic AES,Systems Test Engineer,
1590,"Denver, CO",DataRobot,"Senior Front End Engineer, UI/UX team",
1591,"Golden, CO",xentity corporation,Government Services Solution Architect,
1592,"Boulder, CO",Holland & Hart LLP,DevOps Engineer,
1593,"Denver, CO",xentity corporation,Independent Consultant - Government Solution Architect,
1594,"Centennial, CO 80112",Cosmic AES,Software Engineer II (OPIR Team),
1595,"Denver, CO 80237 (Southeastern Denver area)",GEI Consultants Inc,Software Architect,
1596,"Denver, CO",Quisitive,Microsoft BI Developer (Azure experience a plus),
1597,"Denver, CO 80237 (Southeastern Denver area)",GEI Consultants Inc,"Oil & Gas Science, Engineering & Technology SET Leader",
1598,"Denver, CO",xentity corporation,Business Intelligence Solution Architect,
1599,"Boulder, CO",Holland & Hart LLP,DevOps Engineer,
1600,"Golden, CO",xentity corporation,Government Services Solution Architect,
1601,"Denver, CO 80205 (Northern Denver area)",Enbala Power Networks,"Senior QA Automation Test Engineer, Team Lead",
1602,"Denver, CO",DataRobot,"Senior Front End Engineer, UI/UX team",
1603,"Denver, CO",xentity corporation,Independent Consultant - Government Solution Architect,
1604,"Aurora, CO 80011 (Norfolk Glen area)",Cosmic AES,Software Integration Engineer,
1605,"Denver, CO 80235",SRK Consulting,Senior Accountant,"$64,000 - $81,000 a year (Indeed est.)"
1606,"Boulder, CO",SciTec,Numerical Algorithm Software Engineer,
1607,"Denver, CO 80237 (Southeastern Denver area)",GEI Consultants Inc,Software Architect,"$91,000 - $128,000 a year (Indeed est.)"
1608,"Golden, CO",xentity corporation,Geospatial Architect,"$100,000 - $151,000 a year (Indeed est.)"
1609,"Centennial, CO 80112",Cosmic AES,Systems Test Engineer,
1610,"Denver, CO",DataRobot,"Senior Front End Engineer, UI/UX team","$96,000 - $142,000 a year (Indeed est.)"
1611,"Golden, CO",xentity corporation,Government Services Solution Architect,"$124,000 - $175,000 a year (Indeed est.)"
1612,"Boulder, CO",Holland & Hart LLP,DevOps Engineer,"$99,000 - $135,000 a year (Indeed est.)"
1613,"Denver, CO",xentity corporation,Independent Consultant - Government Solution Architect,"$126,000 - $178,000 a year (Indeed est.)"
1614,"Denver, CO",xentity corporation,Business Intelligence Solution Architect,
1615,"Denver, CO",DataRobot,"Senior Front End Engineer, UI/UX team",
1616,"Centennial, CO 80112",Cosmic AES,Systems Test Engineer,
1617,"Denver, CO 80237 (Southeastern Denver area)",GEI Consultants Inc,Software Architect,
1618,"Golden, CO",xentity corporation,Geospatial Architect,
1619,"Denver, CO 80237 (Southeastern Denver area)",GEI Consultants Inc,"Oil & Gas Science, Engineering & Technology SET Leader",
1620,"Denver, CO 80235",SRK Consulting,Senior Accountant,
1621,"Boulder, CO",Holland & Hart LLP,DevOps Engineer,
1622,"Denver, CO",xentity corporation,Independent Consultant - Government Solution Architect,
1623,"Golden, CO",xentity corporation,Government Services Solution Architect,
1624,"Denver, CO",xentity corporation,Business Intelligence Solution Architect,
1625,"Denver, CO",DataRobot,"Senior Front End Engineer, UI/UX team",
1626,"Centennial, CO 80112",Cosmic AES,Systems Test Engineer,
1627,"Denver, CO 80237 (Southeastern Denver area)",GEI Consultants Inc,Software Architect,
1628,"Golden, CO",xentity corporation,Geospatial Architect,
1629,"Denver, CO 80237 (Southeastern Denver area)",GEI Consultants Inc,"Oil & Gas Science, Engineering & Technology SET Leader",
1630,"Denver, CO 80235",SRK Consulting,Senior Accountant,
1631,"Boulder, CO",Holland & Hart LLP,DevOps Engineer,
1632,"Denver, CO",xentity corporation,Independent Consultant - Government Solution Architect,
1633,"Golden, CO",xentity corporation,Government Services Solution Architect,
1634,"Aurora, CO 80011 (Norfolk Glen area)",Cosmic AES,Software Integration Engineer,
1635,"Denver, CO 80235",SRK Consulting,Senior Accountant,
1636,"Boulder, CO",SciTec,Numerical Algorithm Software Engineer,
1637,"Denver, CO 80237 (Southeastern Denver area)",GEI Consultants Inc,Software Architect,
1638,"Golden, CO",xentity corporation,Geospatial Architect,
1639,"Centennial, CO 80112",Cosmic AES,Systems Test Engineer,
1640,"Denver, CO",DataRobot,"Senior Front End Engineer, UI/UX team",
1641,"Golden, CO",xentity corporation,Government Services Solution Architect,
1642,"Boulder, CO",Holland & Hart LLP,DevOps Engineer,
1643,"Denver, CO",xentity corporation,Independent Consultant - Government Solution Architect,
1644,"Centennial, CO 80112",Cosmic AES,Software Engineer II (OPIR Team),
1645,"Denver, CO 80237 (Southeastern Denver area)",GEI Consultants Inc,Software Architect,
1646,"Denver, CO",Quisitive,Microsoft BI Developer (Azure experience a plus),
1647,"Denver, CO 80237 (Southeastern Denver area)",GEI Consultants Inc,"Oil & Gas Science, Engineering & Technology SET Leader",
1648,"Denver, CO",xentity corporation,Business Intelligence Solution Architect,
1649,"Boulder, CO",Holland & Hart LLP,DevOps Engineer,
1650,"Golden, CO",xentity corporation,Government Services Solution Architect,
1651,"Denver, CO 80205 (Northern Denver area)",Enbala Power Networks,"Senior QA Automation Test Engineer, Team Lead",
1652,"Denver, CO",DataRobot,"Senior Front End Engineer, UI/UX team",
1653,"Denver, CO",xentity corporation,Independent Consultant - Government Solution Architect,
1654,"Centennial, CO 80112",Cosmic AES,Software Engineer II (OPIR Team),
1655,"Denver, CO 80237 (Southeastern Denver area)",GEI Consultants Inc,Software Architect,
1656,"Denver, CO",Quisitive,Microsoft BI Developer (Azure experience a plus),
1657,"Denver, CO 80237 (Southeastern Denver area)",GEI Consultants Inc,"Oil & Gas Science, Engineering & Technology SET Leader",
1658,"Denver, CO",xentity corporation,Business Intelligence Solution Architect,
1659,"Boulder, CO",Holland & Hart LLP,DevOps Engineer,
1660,"Golden, CO",xentity corporation,Government Services Solution Architect,
1661,"Denver, CO 80205 (Northern Denver area)",Enbala Power Networks,"Senior QA Automation Test Engineer, Team Lead",
1662,"Denver, CO",DataRobot,"Senior Front End Engineer, UI/UX team",
1663,"Denver, CO",xentity corporation,Independent Consultant - Government Solution Architect,
1664,"Aurora, CO 80011 (Norfolk Glen area)",Cosmic AES,Software Integration Engineer,
1665,"Denver, CO 80235",SRK Consulting,Senior Accountant,
1666,"Boulder, CO",SciTec,Numerical Algorithm Software Engineer,
1667,"Denver, CO 80237 (Southeastern Denver area)",GEI Consultants Inc,Software Architect,
1668,"Golden, CO",xentity corporation,Geospatial Architect,
1669,"Centennial, CO 80112",Cosmic AES,Systems Test Engineer,
1670,"Denver, CO",DataRobot,"Senior Front End Engineer, UI/UX team",
1671,"Golden, CO",xentity corporation,Government Services Solution Architect,
1672,"Boulder, CO",Holland & Hart LLP,DevOps Engineer,
1673,"Denver, CO",xentity corporation,Independent Consultant - Government Solution Architect,
1674,"Aurora, CO 80011 (Norfolk Glen area)",Cosmic AES,Software Integration Engineer,
1675,"Denver, CO 80235",SRK Consulting,Senior Accountant,
1676,"Boulder, CO",SciTec,Numerical Algorithm Software Engineer,
1677,"Denver, CO 80237 (Southeastern Denver area)",GEI Consultants Inc,Software Architect,
1678,"Golden, CO",xentity corporation,Geospatial Architect,
1679,"Centennial, CO 80112",Cosmic AES,Systems Test Engineer,
1680,"Denver, CO",DataRobot,"Senior Front End Engineer, UI/UX team",
1681,"Golden, CO",xentity corporation,Government Services Solution Architect,
1682,"Boulder, CO",Holland & Hart LLP,DevOps Engineer,
1683,"Denver, CO",xentity corporation,Independent Consultant - Government Solution Architect,
1684,"Centennial, CO 80112",Cosmic AES,Software Engineer II (OPIR Team),
1685,"Denver, CO 80237 (Southeastern Denver area)",GEI Consultants Inc,Software Architect,
1686,"Denver, CO",Quisitive,Microsoft BI Developer (Azure experience a plus),
1687,"Denver, CO 80237 (Southeastern Denver area)",GEI Consultants Inc,"Oil & Gas Science, Engineering & Technology SET Leader",
1688,"Denver, CO",xentity corporation,Business Intelligence Solution Architect,
1689,"Boulder, CO",Holland & Hart LLP,DevOps Engineer,
1690,"Golden, CO",xentity corporation,Government Services Solution Architect,
1691,"Denver, CO 80205 (Northern Denver area)",Enbala Power Networks,"Senior QA Automation Test Engineer, Team Lead",
1692,"Denver, CO",DataRobot,"Senior Front End Engineer, UI/UX team",
1693,"Denver, CO",xentity corporation,Independent Consultant - Government Solution Architect,
1694,"Centennial, CO 80112",Cosmic AES,Software Engineer II (OPIR Team),
1695,"Denver, CO 80237 (Southeastern Denver area)",GEI Consultants Inc,Software Architect,
1696,"Denver, CO",Quisitive,Microsoft BI Developer (Azure experience a plus),
1697,"Denver, CO 80237 (Southeastern Denver area)",GEI Consultants Inc,"Oil & Gas Science, Engineering & Technology SET Leader",
1698,"Denver, CO",xentity corporation,Business Intelligence Solution Architect,
1699,"Boulder, CO",Holland & Hart LLP,DevOps Engineer,
1700,"Golden, CO",xentity corporation,Government Services Solution Architect,
1701,"Denver, CO 80205 (Northern Denver area)",Enbala Power Networks,"Senior QA Automation Test Engineer, Team Lead",
1702,"Denver, CO",DataRobot,"Senior Front End Engineer, UI/UX team",
1703,"Denver, CO",xentity corporation,Independent Consultant - Government Solution Architect,
1704,"Denver, CO",xentity corporation,Business Intelligence Solution Architect,
1705,"Denver, CO",DataRobot,"Senior Front End Engineer, UI/UX team",
1706,"Centennial, CO 80112",Cosmic AES,Systems Test Engineer,
1707,"Denver, CO 80237 (Southeastern Denver area)",GEI Consultants Inc,Software Architect,
1708,"Golden, CO",xentity corporation,Geospatial Architect,
1709,"Denver, CO 80237 (Southeastern Denver area)",GEI Consultants Inc,"Oil & Gas Science, Engineering & Technology SET Leader",
1710,"Denver, CO 80235",SRK Consulting,Senior Accountant,
1711,"Boulder, CO",Holland & Hart LLP,DevOps Engineer,
1712,"Denver, CO",xentity corporation,Independent Consultant - Government Solution Architect,
1713,"Golden, CO",xentity corporation,Government Services Solution Architect,
1714,"Centennial, CO 80112",Cosmic AES,Software Engineer II (OPIR Team),
1715,"Denver, CO 80237 (Southeastern Denver area)",GEI Consultants Inc,Software Architect,
1716,"Denver, CO",Quisitive,Microsoft BI Developer (Azure experience a plus),
1717,"Denver, CO 80237 (Southeastern Denver area)",GEI Consultants Inc,"Oil & Gas Science, Engineering & Technology SET Leader",
1718,"Denver, CO",xentity corporation,Business Intelligence Solution Architect,
1719,"Boulder, CO",Holland & Hart LLP,DevOps Engineer,
1720,"Golden, CO",xentity corporation,Government Services Solution Architect,
1721,"Denver, CO 80205 (Northern Denver area)",Enbala Power Networks,"Senior QA Automation Test Engineer, Team Lead",
1722,"Denver, CO",DataRobot,"Senior Front End Engineer, UI/UX team",
1723,"Denver, CO",xentity corporation,Independent Consultant - Government Solution Architect,
1724,"Aurora, CO 80011 (Norfolk Glen area)",Cosmic AES,Software Integration Engineer,
1725,"Denver, CO 80235",SRK Consulting,Senior Accountant,
1726,"Boulder, CO",SciTec,Numerical Algorithm Software Engineer,
1727,"Denver, CO 80237 (Southeastern Denver area)",GEI Consultants Inc,Software Architect,
1728,"Golden, CO",xentity corporation,Geospatial Architect,
1729,"Centennial, CO 80112",Cosmic AES,Systems Test Engineer,
1730,"Denver, CO",DataRobot,"Senior Front End Engineer, UI/UX team",
1731,"Golden, CO",xentity corporation,Government Services Solution Architect,
1732,"Boulder, CO",Holland & Hart LLP,DevOps Engineer,
1733,"Denver, CO",xentity corporation,Independent Consultant - Government Solution Architect,
1734,"Centennial, CO 80112",Cosmic AES,Software Engineer II (OPIR Team),
1735,"Denver, CO 80237 (Southeastern Denver area)",GEI Consultants Inc,Software Architect,
1736,"Denver, CO",Quisitive,Microsoft BI Developer (Azure experience a plus),
1737,"Denver, CO 80237 (Southeastern Denver area)",GEI Consultants Inc,"Oil & Gas Science, Engineering & Technology SET Leader",
1738,"Denver, CO",xentity corporation,Business Intelligence Solution Architect,
1739,"Boulder, CO",Holland & Hart LLP,DevOps Engineer,
1740,"Golden, CO",xentity corporation,Government Services Solution Architect,
1741,"Denver, CO 80205 (Northern Denver area)",Enbala Power Networks,"Senior QA Automation Test Engineer, Team Lead",
1742,"Denver, CO",DataRobot,"Senior Front End Engineer, UI/UX team",
1743,"Denver, CO",xentity corporation,Independent Consultant - Government Solution Architect,
1744,"Centennial, CO 80112",Cosmic AES,Software Engineer II (OPIR Team),
1745,"Denver, CO 80237 (Southeastern Denver area)",GEI Consultants Inc,Software Architect,
1746,"Denver, CO",Quisitive,Microsoft BI Developer (Azure experience a plus),
1747,"Denver, CO 80237 (Southeastern Denver area)",GEI Consultants Inc,"Oil & Gas Science, Engineering & Technology SET Leader",
1748,"Denver, CO",xentity corporation,Business Intelligence Solution Architect,
1749,"Boulder, CO",Holland & Hart LLP,DevOps Engineer,
1750,"Golden, CO",xentity corporation,Government Services Solution Architect,
1751,"Denver, CO 80205 (Northern Denver area)",Enbala Power Networks,"Senior QA Automation Test Engineer, Team Lead",
1752,"Denver, CO",DataRobot,"Senior Front End Engineer, UI/UX team",
1753,"Denver, CO",xentity corporation,Independent Consultant - Government Solution Architect,
1754,"Centennial, CO 80112",Cosmic AES,Software Engineer II (OPIR Team),
1755,"Denver, CO 80237 (Southeastern Denver area)",GEI Consultants Inc,Software Architect,
1756,"Denver, CO",Quisitive,Microsoft BI Developer (Azure experience a plus),
1757,"Denver, CO 80237 (Southeastern Denver area)",GEI Consultants Inc,"Oil & Gas Science, Engineering & Technology SET Leader",
1758,"Denver, CO",xentity corporation,Business Intelligence Solution Architect,
1759,"Boulder, CO",Holland & Hart LLP,DevOps Engineer,
1760,"Golden, CO",xentity corporation,Government Services Solution Architect,
1761,"Denver, CO 80205 (Northern Denver area)",Enbala Power Networks,"Senior QA Automation Test Engineer, Team Lead",
1762,"Denver, CO",DataRobot,"Senior Front End Engineer, UI/UX team",
1763,"Denver, CO",xentity corporation,Independent Consultant - Government Solution Architect,
1764,"Aurora, CO 80011 (Norfolk Glen area)",Cosmic AES,Software Integration Engineer,
1765,"Denver, CO 80235",SRK Consulting,Senior Accountant,
